-81.92	-81.92	50.24	33.24	16.84	-81.92	42.04	33.12	-81.92	-81.92	33.56	28.12	-6.84	-81.92	29.64	40.48
81.88	81.88	51.84	35.8	23.0	81.88	52.04	35.24	81.88	81.88	25.68	17.2	6.36	81.88	18.16	27.8
-81.92	-81.92	71.96	64.08	23.6	-81.92	54.16	30.6	-81.92	-81.92	55.72	32.28	1.36	-81.92	48.72	36.52
81.88	81.88	55.8	22.28	29.76	81.88	39.88	27.12	81.88	81.88	46.12	24.28	0.32	81.88	50.36	34.24
-81.92	-81.92	73.8	64.0	19.16	-81.92	65.36	43.24	-81.92	-81.92	65.96	43.08	-9.88	-81.92	56.64	45.92
81.88	81.88	70.68	44.56	20.16	81.88	50.64	41.76	81.88	81.88	58.92	31.32	5.12	81.88	61.88	18.88
-81.92	-81.92	66.76	40.96	19.72	-81.92	53.68	51.28	-81.92	-81.92	59.08	28.56	-15.2	-59.0	43.48	17.68
57.56	32.76	81.88	68.28	19.08	81.88	59.92	68.12	81.88	81.88	81.4	42.96	0.24	-81.92	26.28	27.76
-81.92	-81.92	64.72	40.96	16.16	-81.92	47.8	38.88	-81.92	-81.92	52.36	25.0	-17.04	81.88	70.16	16.28
81.88	81.88	45.36	16.48	21.2	81.88	20.84	13.36	81.88	81.88	44.32	13.2	-10.04	-0.04	64.84	17.72
81.88	81.88	53.0	23.68	11.64	19.56	32.16	18.64	-81.92	-81.92	51.44	21.2	-20.32	81.88	81.88	37.32
-81.92	-81.92	56.68	31.84	25.4	-81.92	52.04	30.16	-81.92	-81.92	53.0	24.36	-6.8	-81.92	75.8	39.56
81.88	81.88	54.32	37.88	15.28	81.88	39.4	45.72	81.88	67.12	60.08	35.16	-8.6	81.88	81.88	78.88
-81.92	-81.92	67.12	34.64	21.6	-81.92	52.68	28.32	-81.92	81.88	78.0	44.2	-8.92	-81.92	49.76	49.0
81.88	81.88	54.6	31.08	30.68	81.88	30.72	38.52	81.88	81.88	69.6	35.4	-0.24	81.88	66.2	54.52
-81.92	-81.92	53.72	28.64	11.92	-81.92	16.8	29.96	-81.92	-81.92	72.92	30.64	-22.76	-81.92	72.68	49.12
81.88	81.88	49.72	21.2	8.48	81.88	15.72	16.72	81.88	81.88	71.8	34.24	-25.72	81.88	68.88	55.96
